date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:33	927618/927618	------	200	untouched ('OK')	application/javascript	etag:W/%2239766d932c5ca8d77f2eba0697e6f175%22	https://assets-pw.pixieset.com/assets/client/js/vendor.v-86dd7af9.js	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/client/js/vendor.v-86dd7af9.js	(from https://guruphotography.mypixieset.com/)
12:46:33	59557/59557	------	200	untouched ('OK')	application/javascript	etag:W/%221732e361234d418a38e6756af893531b%22	https://assets-pw.pixieset.com/assets/client/js/index.v-cfce46a9.js	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/client/js/index.v-cfce46a9.js	(from https://guruphotography.mypixieset.com/)
12:46:33	81106/81106	------	200	untouched ('OK')	application/javascript	etag:W/%22fef3cb8b05099aa5ed30e0109917b792%22	https://assets-pw.pixieset.com/assets/client/js/themes/theme_4.v-64de9dd2.js	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/client/js/themes/theme_4.v-64de9dd2.js	(from https://guruphotography.mypixieset.com/)
12:46:33	1102/1102	------	200	untouched ('OK')	application/javascript	etag:W/%22c62a3b6ea7b134241d3b92eefcae0ba9%22	https://assets-pw.pixieset.com/assets/client/js/init-pw.v-b7494d2d.js	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/assets/client/js/init-pw.v-b7494d2d.js	(from https://guruphotography.mypixieset.com/)
12:46:33	547/547	------	200	untouched ('OK')	image/png	etag:%22e3f799c6dec9af194c86decdf7392405%22	https://assets-pw.pixieset.com/images/assets/client/images/vendor/photoswipe/dist/default-skin/default-skin.png?0ff4d62150facee6b7dec616100ad3da	/storage/emulated/0/HTTrack/Websites/staging/assets-pw.pixieset.com/images/assets/client/images/vendor/photoswipe/dist/default-skin/default-skin208f.png	(from https://assets-pw.pixieset.com/assets/client/css/themes/theme_4.v-d02266fd.css)
12:46:33	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:46%20GMT	http://images-pw.pixieset.com/sample_photos/sample-279_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-279_XL.1b.delayed	(from https://guruphotography.mypixieset.com/about/)
12:46:33	753888/753888	------	200	untouched ('OK')	image/jpeg	etag:%222af264fe5c038bdb1313717c153a9102%22	https://images-pw.pixieset.com/sample_photos/sample-279_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-279_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:46:33	167/167	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:48%20GMT	http://images-pw.pixieset.com/sample_photos/sample-266_XS.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-266_XS.jpg	(from https://guruphotography.mypixieset.com/about/)
12:46:33	167/167	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:54%20GMT	http://images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:46:33	167/167	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:56%20GMT	http://images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:46:33	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:02:03%20GMT	http://images-pw.pixieset.com/sample_photos/sample-263_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-263_LG.1d.delayed	(from https://guruphotography.mypixieset.com/portfolio/)
12:46:33	167/167	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:01:00%20GMT	http://images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:46:33	167/167	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:01:07%20GMT	http://images-pw.pixieset.com/sample_photos/sample-280_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-280_XL.jpg	(from https://guruphotography.mypixieset.com/portfolio/)
